userId,newsId,rating
1,1,5
1,2,4
1,20,2
2,15,3
2,12,5
2,1,3
3,20,2
3,15,2
4,21,5
4,15,3
4,1,2
4,2,3
5,3,3
6,4,5
7,5,1
7,7,2
7,10,3
7,12,4
8,5,5
8,3,1
8,6,2
9,12,3
9,15,4
9,20,5
9,1,4
9,2,3
10,1,3
10,15,5
10,16,2
10,12,3
10,11,4
11,1,5
11,2,3
11,3,4
11,4,5
11,5,4
11,6,5
11,7,4
11,9,4
11,11,4
11,12,4
11,13,4
11,14,5
11,15,5
11,16,3
12,1,4
12,2,3
12,4,5
12,5,5
12,6,5
12,8,4
12,9,4
12,10,2
12,11,3
12,12,3
12,13,4
12,14,1
12,15,3
12,16,4
12,17,5
12,18,4
12,19,5
13,1,4
13,3,3
13,4,3
13,5,4
13,6,3
13,7,4
13,8,4
13,9,4
13,10,5
13,11,5
13,12,2
13,13,2
14,3,3
15,5,4
16,2,5
16,4,4
16,5,3
16,6,1
16,7,2
16,8,3
16,9,3
16,11,4
16,12,2
16,13,3
16,14,4
17,15,5
17,16,5
17,17,5
17,18,4
17,20,4
17,21,3
17,22,4
17,23,4
17,1,4
17,2,5
17,3,2
17,4,4
18,1,5
18,2,5
18,3,3
18,4,1
18,5,3
18,6,4
18,7,3
18,8,4
18,9,5
18,10,2
18,11,4
18,12,5
18,13,5
18,14,5
18,15,5
18,16,3
18,17,3
18,18,4
18,19,4
18,20,4
19,5,4
19,6,5
19,7,1
19,8,2
19,9,3
19,12,4
20,2,4
20,3,5
20,4,4
20,5,5
20,6,4
20,7,5
20,8,4
20,9,2
20,10,2
20,11,2
20,12,3
20,13,4
20,14,4
20,15,5
20,16,4
20,17,4
21,1,5
21,2,5
21,3,5
21,4,5
21,4,5
21,5,5
21,6,5
21,7,3
21,11,4
21,12,3
21,14,4
21,15,5
21,16,2
21,17,3
21,18,4
21,19,3
21,20,3
21,21,4
21,22,4
21,23,3
21,24,5
21,25,4
21,26,5
22,15,4
22,17,3
22,18,4
22,19,5
22,20,4
22,21,3
22,22,1
22,23,2
22,24,1
22,25,1
22,1,2
22,2,3
22,3,4
22,4,4
22,5,5
22,6,3
22,7,4
22,8,5
23,2,4
23,3,3
23,4,5
23,5,3
23,6,3
23,7,4
23,8,5
23,9,5
23,10,5
23,11,4
23,12,5
23,13,4
23,14,3
23,15,4
23,16,5
23,17,4
23,18,3
23,20,4
23,21,5
23,22,1
24,10,2
24,11,3
24,12,4
24,13,5
24,14,3
24,15,4
24,16,2
24,17,3
24,18,4
24,19,3
24,20,4
24,21,5
24,22,5
24,23,4
24,24,3
25,1,5
25,2,5
25,3,5
25,4,5
25,5,5
25,6,4
25,12,4
25,14,3
25,16,4
25,17,5
25,18,3
25,20,4
25,21,3
25,22,4
25,23,2
25,24,4
25,26,3
25,26,4
26,1,4
26,2,3
26,3,2
26,4,4
26,5,4
26,11,5
26,12,5
26,13,5
26,14,4
26,15,4
26,16,3
26,17,3
26,18,2
26,19,1
26,20,1
26,21,1
26,22,3
26,23,4
27,1,3
27,2,2
27,3,3
27,4,4
27,12,2
27,13,3
27,14,2
27,15,3
27,16,4
27,20,3
28,1,4
28,5,5
28,6,3
28,7,4
28,8,5
28,9,5
28,10,4
28,11,3
28,12,2
28,13,3
28,14,4
29,1,2
29,2,3
29,3,4
29,4,4
29,5,5
29,6,3
29,7,3
29,8,3
29,9,2
29,10,2
29,11,1
30,2,3
30,3,4
30,4,4
30,5,3
30,6,4
30,7,5
30,8,5
30,9,4
30,11,5
31,12,5
31,13,5
31,14,4
31,15,3
31,16,2
31,17,3
